id,type,placement,source_filename,organized_path,title,note,status
F1,figure,main,q1_power_balance.png,outputs/report_assets/main_figures/q1_power_balance.png,Q1 典型日功率平衡,展示基准运行下风光出力、负荷与源荷错配。,OK
F10,figure,main,q3_paper_scenario_min_cost_heatmap.png,outputs/report_assets/main_figures/q3_paper_scenario_min_cost_heatmap.png,Q3 24 场景最小吨氨成本方案热力图,正文主图，用于回答问题三第一小问；格内展示最小吨氨成本、对应日产量和绿电直连指标满足类型。,OK
F12,figure,main,q3_vs_q2_multi_metric_comparison.png,outputs/report_assets/main_figures/q3_vs_q2_multi_metric_comparison.png,Q3 相对 Q2 的多指标变化图,正文主图，用于回答问题三第三小问；比较吨氨成本、购电量、上网电量、自发自用率、绿电比例和新能源上网比例。,OK
F2,figure,main,q2_typical_cost_vs_production.png,outputs/report_assets/main_figures/q2_typical_cost_vs_production.png,Q2 离散调度吨氨成本随日产量变化,展示离散调度下不同日产量的成本变化。,OK
F3,figure,main,q2_inertia_cost_increase_heatmap.png,outputs/report_assets/main_figures/q2_inertia_cost_increase_heatmap.png,Q2 运行惯性增强验证成本增量热力图,检验启动损耗和最小连续运行时间对 Q2 结论的影响。,OK
F4,figure,main,q3_vs_q2_cost_reduction.png,outputs/report_assets/main_figures/q3_vs_q2_cost_reduction.png,Q3 连续调节相对 Q2 的降本效果,展示连续调节对离散调度的成本改善。,OK
F5,figure,main,q4_storage_knee_capacity_tradeoff.png,outputs/report_assets/main_figures/q4_storage_knee_capacity_tradeoff.png,Q4 储能容量—成本—制氨量细步长扫描,展示储能容量拐点区间与推荐容量。,OK
F6,figure,main,q4_storage_knee_marginal_benefit.png,outputs/report_assets/main_figures/q4_storage_knee_marginal_benefit.png,Q4 储能容量边际收益递减曲线,证明拐点后边际收益明显下降。,OK
F7,figure,main,q4_grid_vs_offgrid_cost_comparison.png,outputs/report_assets/main_figures/q4_grid_vs_offgrid_cost_comparison.png,Q4 联网与离网同产量成本对比,说明公共电网的低成本系统平衡价值。,OK
F8,figure,main,q4_weight_sensitivity_recommended_capacity.png,outputs/report_assets/main_figures/q4_weight_sensitivity_recommended_capacity.png,Q4 目标权重敏感性下的推荐容量,检验 115 MWh 工程推荐容量是否依赖单一目标权重。,OK
F9,figure,main,q4_storage_mechanism_framework.svg,outputs/report_assets/main_figures/q4_storage_mechanism_framework.svg,Q4 储能容量配置作用机理与拐点决策框架图,用于解释源荷错配、储能时移调节、边际收益递减以及 20/110–115/150 MWh 分层容量决策逻辑。,OK
T1,table,main,q1_summary.csv,outputs/report_assets/main_tables/q1_summary.csv,Q1 典型日基准结果,用于 Q1 主要结果。,OK
T10,table,main,sensitivity_summary.csv,outputs/report_assets/main_tables/sensitivity_summary.csv,敏感性分析汇总,用于说明参数扰动下结论稳定。,OK
T11,table,main,robustness_overview.csv,outputs/report_assets/main_tables/robustness_overview.csv,鲁棒性检验总览,用于说明随机扰动、场景留一和压力测试下结论稳定。,OK
T12,table,main,q4_weight_sensitivity_summary.csv,outputs/report_assets/main_tables/q4_weight_sensitivity_summary.csv,Q4 目标权重敏感性汇总,用于证明 Q4 工程推荐容量对目标权重扰动具有稳定性。,OK
T13,table,main,q3_paper_annual_summary_compact.csv,outputs/report_assets/main_tables/q3_paper_annual_summary_compact.csv,Q3 不同日产量年化压缩汇总表,正文主表，展示不同日产量下全年总成本、吨氨成本、购售电量和平均绿电指标。,OK
T14,table,main,q3_paper_satisfaction_matrix.csv,outputs/report_assets/main_tables/q3_paper_satisfaction_matrix.csv,Q3 不同日产量满足类型统计表,正文主表，统计不同日产量下全满足、部分满足、全不满足三类场景数及年化天数。,OK
T15,table,main,q3_paper_min_cost_annual_classification.csv,outputs/report_assets/main_tables/q3_paper_min_cost_annual_classification.csv,Q3 最小成本方案年化分类汇总表,正文主表，按全满足、部分满足、全不满足统计最小成本方案对应的场景数、全年天数、年化制氨量和加权吨氨成本。,OK
T16,table,main,q3_vs_q2_multi_metric_delta.csv,outputs/report_assets/main_tables/q3_vs_q2_multi_metric_delta.csv,Q3 相对 Q2 的多指标变化表,正文主表，量化 Q3 相对 Q2 在成本、购电、上网、自发自用率、绿电比例和上网比例上的变化。,OK
T17,table,main,q4_paper_24_scenario_summary.csv,outputs/report_assets/main_tables/q4_paper_24_scenario_summary.csv,Q4 24 场景离网储能逐场景结果表,包含 scene、production、ton_cost、curtailment、wind_util、pv_util。,OK
T18,table,main,q4_paper_grid_vs_offgrid_comparison.csv,outputs/report_assets/main_tables/q4_paper_grid_vs_offgrid_comparison.csv,Q4 联网与离网年化经济性对比表,包含 mode、annual_cost、annual_production、ton_cost。,OK
T2,table,main,q2_typical_summary.csv,outputs/report_assets/main_tables/q2_typical_summary.csv,Q2 典型场景结果,用于 Q2 典型场景结果。,OK
T3,table,main,q2_annual_summary.csv,outputs/report_assets/main_tables/q2_annual_summary.csv,Q2 年化结果,用于 Q2 年化评价。,OK
T4,table,main,q2_inertia_best_by_case.csv,outputs/report_assets/main_tables/q2_inertia_best_by_case.csv,Q2 运行惯性增强验证最优结果,用于证明 Q2 结论对启动损耗和最小连续运行时间稳定。,OK
T5,table,main,q3_annual_summary.csv,outputs/report_assets/main_tables/q3_annual_summary.csv,Q3 年化结果,用于 Q3 年化评价。,OK
T6,table,main,q3_vs_q2_comparison.csv,outputs/report_assets/main_tables/q3_vs_q2_comparison.csv,Q3 与 Q2 原始对比表,正文主表，保留 Q3 与 Q2 原始对比结果，便于论文中引用具体数值。,OK
T7,table,main,q4_storage_capacity_tiers.csv,outputs/report_assets/main_tables/q4_storage_capacity_tiers.csv,Q4 储能容量层级,用于说明拐点容量、推荐容量和饱和容量。,OK
T8,table,main,q4_storage_knee_summary.csv,outputs/report_assets/main_tables/q4_storage_knee_summary.csv,Q4 拐点识别汇总,用于证明储能推荐容量。,OK
T9,table,main,q4_storage_capacity_fine_scan.csv,outputs/report_assets/main_tables/q4_storage_capacity_fine_scan.csv,Q4 细步长容量扫描,用于支撑储能容量拐点分析。,OK
AF1,figure,appendix,q1_cost_breakdown.png,outputs/report_assets/appendix_figures/q1_cost_breakdown.png,Q1 成本构成,展示典型日成本来源。,OK
AF10,figure,appendix,q2_inertia_best_production.png,outputs/report_assets/appendix_figures/q2_inertia_best_production.png,Q2 运行惯性约束下的最优日产量稳定性,展示增强约束下最优日产量保持稳定。,OK
AF11,figure,appendix,q2_inertia_typical_schedule_comparison.png,outputs/report_assets/appendix_figures/q2_inertia_typical_schedule_comparison.png,Q2 增强验证开机时段对比,展示运行惯性约束对典型日调度形态的影响。,OK
AF12,figure,appendix,q3_annual_avg_cost.png,outputs/report_assets/appendix_figures/q3_annual_avg_cost.png,Q3 全年平均成本,展示 Q3 年化成本曲线。,OK
AF13,figure,appendix,q3_representative_dispatch_curve.png,outputs/report_assets/appendix_figures/q3_representative_dispatch_curve.png,Q3 代表性场景调度曲线,展示连续制氨功率调度细节。,OK
AF14,figure,appendix,q3_satisfaction_stacked_bar.png,outputs/report_assets/appendix_figures/q3_satisfaction_stacked_bar.png,Q3 全年达标分类,展示连续调节后的达标情况。,OK
AF15,figure,appendix,q3_scenario_cost_boxplot.png,outputs/report_assets/appendix_figures/q3_scenario_cost_boxplot.png,Q3 场景成本分布,展示 Q3 多场景成本分布。,OK
AF16,figure,appendix,q3_vs_q2_grid_interaction.png,outputs/report_assets/appendix_figures/q3_vs_q2_grid_interaction.png,Q3 相对 Q2 电网交互变化,展示连续调节对购电/上网的影响。,OK
AF17,figure,appendix,q4_offgrid_no_storage_curtailment_unserved.png,outputs/report_assets/appendix_figures/q4_offgrid_no_storage_curtailment_unserved.png,Q4 无储能离网弃电与缺供,展示无储能离网运行的弃电情况。,OK
AF18,figure,appendix,q4_offgrid_no_storage_production_bar.png,outputs/report_assets/appendix_figures/q4_offgrid_no_storage_production_bar.png,Q4 无储能离网 24 场景制氨量,展示无储能条件下各场景制氨能力。,OK
AF19,figure,appendix,q4_storage_dispatch_curve.png,outputs/report_assets/appendix_figures/q4_storage_dispatch_curve.png,Q4 储能调度曲线,展示代表性场景下 SOC、充放电与负荷。,OK
AF2,figure,appendix,q1_green_indicators.png,outputs/report_assets/appendix_figures/q1_green_indicators.png,Q1 绿电指标,展示三项绿电直连指标达标情况。,OK
AF20,figure,appendix,q4_storage_knee_normalized_benefit.png,outputs/report_assets/appendix_figures/q4_storage_knee_normalized_benefit.png,Q4 储能收益—成本标准化对比,展示收益与成本的标准化关系。,OK
AF21,figure,appendix,q4_storage_production_bar.png,outputs/report_assets/appendix_figures/q4_storage_production_bar.png,Q4 有储能 24 场景制氨量,展示储能对各场景制氨量的提升。,OK
AF22,figure,appendix,q4_wind_pv_utilization_improvement.png,outputs/report_assets/appendix_figures/q4_wind_pv_utilization_improvement.png,Q4 储能前后风光利用率对比,展示储能对风光消纳的改善。,OK
AF23,figure,appendix,q3_paper_cost_export_scatter.png,outputs/report_assets/appendix_figures/q3_paper_cost_export_scatter.png,Q3 吨氨成本与新能源上网比例关系散点图,附录图，补充展示吨氨成本与新能源上网比例关系。,OK
AF24,figure,appendix,q3_paper_scenario_min_cost_dotplot.png,outputs/report_assets/appendix_figures/q3_paper_scenario_min_cost_dotplot.png,Q3 24 场景最小成本方案点图,附录图，作为热力图的补充展示。,OK
AF25,figure,appendix,q3_paper_cost_green_scatter.png,outputs/report_assets/appendix_figures/q3_paper_cost_green_scatter.png,Q3 吨氨成本与绿电比例关系散点图,附录图，补充展示吨氨成本与总用电量绿电比例关系。,OK
AF3,figure,appendix,q1_grid_interaction.png,outputs/report_assets/appendix_figures/q1_grid_interaction.png,Q1 电网交互,展示小时级购电与余电上网。,OK
AF4,figure,appendix,q2_annual_avg_cost.png,outputs/report_assets/appendix_figures/q2_annual_avg_cost.png,Q2 全年平均成本,展示 Q2 年化成本曲线。,OK
AF5,figure,appendix,q2_satisfaction_stacked_bar.png,outputs/report_assets/appendix_figures/q2_satisfaction_stacked_bar.png,Q2 全年达标分类,展示不同日产量下指标达标情况。,OK
AF6,figure,appendix,q2_scenario_cost_boxplot.png,outputs/report_assets/appendix_figures/q2_scenario_cost_boxplot.png,Q2 场景成本分布,展示 24 场景下成本分布。,OK
AF7,figure,appendix,q2_typical_green_indicators.png,outputs/report_assets/appendix_figures/q2_typical_green_indicators.png,Q2 典型场景绿电指标,展示典型场景绿电指标变化。,OK
AF8,figure,appendix,q2_typical_schedule_gantt.png,outputs/report_assets/appendix_figures/q2_typical_schedule_gantt.png,Q2 典型场景开机时段,展示离散调度时段选择。,OK
AF9,figure,appendix,q2_inertia_best_cost.png,outputs/report_assets/appendix_figures/q2_inertia_best_cost.png,Q2 运行惯性约束下的最优成本,展示启动损耗与最小连续运行时间对成本的影响。,OK
AT1,table,appendix,q2_inertia_typical_summary.csv,outputs/report_assets/appendix_tables/q2_inertia_typical_summary.csv,Q2 增强验证典型日汇总,Q2 运行惯性增强验证典型日结果。,OK
AT10,table,appendix,q3_all_scenarios_summary.csv,outputs/report_assets/appendix_tables/q3_all_scenarios_summary.csv,Q3 24 场景连续调节原始汇总表,附录表，保留 Q3 连续调节模型对 24 场景的原始汇总输出。,OK
AT11,table,appendix,q3_all_scenarios_hourly_dispatch.csv,outputs/report_assets/appendix_tables/q3_all_scenarios_hourly_dispatch.csv,Q3 24 场景逐小时连续调节方案表,附录表，用于支撑问题三第一小问的完整逐小时调度方案。,OK
AT12,table,appendix,q3_paper_scenario_min_cost_summary.csv,outputs/report_assets/appendix_tables/q3_paper_scenario_min_cost_summary.csv,Q3 24 场景最小成本方案明细表,附录表，每个风光场景保留一行最小吨氨成本方案。,OK
AT13,table,appendix,q3_paper_scenario_compliance_then_cost_summary.csv,outputs/report_assets/appendix_tables/q3_paper_scenario_compliance_then_cost_summary.csv,Q3 24 场景先达标后降本方案明细表,附录表，按优先满足绿电指标、再最小化吨氨成本的规则选择方案。,OK
AT14,table,appendix,q3_paper_all_candidates_summary.csv,outputs/report_assets/appendix_tables/q3_paper_all_candidates_summary.csv,Q3 多日产量候选方案压缩表,附录表，包含 24 场景与多个日产量组合下的候选方案压缩结果。,OK
AT15,table,appendix,q3_paper_production_classification_annual.csv,outputs/report_assets/appendix_tables/q3_paper_production_classification_annual.csv,Q3 不同日产量满足类型年化分类表,附录表，补充说明不同日产量下全满足、部分满足、全不满足结构。,OK
AT2,table,appendix,q2_inertia_annual_summary.csv,outputs/report_assets/appendix_tables/q2_inertia_annual_summary.csv,Q2 增强验证年化汇总,Q2 启动损耗和最小连续运行时间组合下的年化结果。,OK
AT3,table,appendix,q2_inertia_vs_baseline.csv,outputs/report_assets/appendix_tables/q2_inertia_vs_baseline.csv,Q2 增强验证相对基准对比,Q2 增强模型相对原模型的成本增量。,OK
AT4,table,appendix,robustness_case_summary.csv,outputs/report_assets/appendix_tables/robustness_case_summary.csv,鲁棒性检验逐案例结果,随机扰动、场景留一、压力测试逐案例结果。,OK
AT5,table,appendix,q4_weight_sensitivity_knee_detail.csv,outputs/report_assets/appendix_tables/q4_weight_sensitivity_knee_detail.csv,Q4 目标权重敏感性拐点明细,记录不同权重扰动下各类拐点识别方法的结果。,OK
AT6,table,appendix,q4_weight_sensitivity_tier_detail.csv,outputs/report_assets/appendix_tables/q4_weight_sensitivity_tier_detail.csv,Q4 目标权重敏感性容量层级明细,记录不同权重扰动下经济入口、工程推荐和技术饱和容量。,OK
AT7,table,appendix,q1_hourly_results.csv,outputs/report_assets/appendix_tables/q1_hourly_results.csv,Q1 小时级功率平衡结果,用于回答问题一第一小问，每小时负荷、风光出力、购电和上网电量。,OK
AT8,table,appendix,q2_all_scenarios_summary.csv,outputs/report_assets/appendix_tables/q2_all_scenarios_summary.csv,Q2 24 场景离散调度汇总,用于问题二第二小问和问题三对比，包含各场景成本、购售电和绿电指标。,OK
AT9,table,appendix,q2_all_scenarios_hourly_dispatch.csv,outputs/report_assets/appendix_tables/q2_all_scenarios_hourly_dispatch.csv,Q2 24 场景小时级离散调度,用于附录展示各风光场景下离散开停机方案。,OK
