mode,scenario_id,wind_scenario,pv_scenario,storage_capacity_mwh,total_cost_yuan,ton_cost_yuan_per_ton,total_ammonia_output_ton,capacity_utilization_rate,on_hours,avg_power_ratio,mean_running_power_ratio,base_load_mwh,hydrogen_ammonia_load_mwh,unserved_load_mwh,energy_self_sufficiency_ratio,renewable_utilization_ratio,ammonia_capex_daily_yuan,storage_capex_daily_yuan,wind_generation_cost_yuan,pv_generation_cost_yuan,alk_om_cost_yuan,pem_om_cost_yuan,ammonia_om_cost_yuan,storage_om_cost_yuan,storage_charge_mwh,storage_discharge_mwh,soc_max_mwh,soc_min_mwh,total_load_mwh,renewable_generation_mwh,grid_purchase_mwh,grid_export_mwh,curtailment_mwh,renewable_self_used_mwh,renewable_self_use_ratio,green_power_ratio,renewable_export_ratio,renewable_self_use_pass,green_power_pass,renewable_export_pass,pass_count,satisfaction_type,is_recommended_storage,recommendation_rule
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,0.0,196612.29325140562,4256.928244565963,46.186424096385544,0.6414781124497992,23,0.6414781124497991,0.6693684651650079,60.72,638.9122,0.0,1.0,0.797825353166295,3333.3333333333335,0.0,55122.6,61132.799999999996,30790.94939759036,46186.42409638554,46.186424096385544,0.0,0.0,0.0,0.0,0.0,699.6322,876.924,0.0,0.0,177.2918,699.6322,0.797825353166295,1.0,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,20.0,203311.9536271739,4258.561311503638,47.74193413112734,0.6630824184878796,24,0.6630824184878797,0.6630824184878797,60.72,660.4300888139283,0.0,1.0,0.8272944461915587,3333.3333333333335,3703.7037037037035,55122.6,61132.799999999996,31827.956087418228,47741.934131127346,47.74193413112734,401.88443746014605,22.256354932086392,17.93208881392821,20.0,0.0,721.1500888139283,876.924,0.0,0.0,151.4496450679136,725.4743549320864,0.8272944461915587,1.0059963469258808,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,40.0,209575.53420211066,4273.923199320918,49.03586808378074,0.6810537233858436,24,0.6810537233858437,0.6810537233858437,60.72,678.3295084923003,0.0,1.0,0.8527279105215371,3333.3333333333335,7407.407407407407,55122.6,61132.799999999996,32690.5787225205,49035.86808378075,49.03586808378074,803.9107869848872,44.55957020618836,35.83150849230035,40.0,0.0,739.0495084923003,876.924,0.0,0.0,129.14642979381165,747.7775702061883,0.8527279105215371,1.0118098471260657,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,60.0,215838.6174258108,4288.529697707843,50.32928127819038,0.699017795530422,24,0.6990177955304221,0.6990177955304221,60.72,696.2217243483003,0.0,1.0,0.8782119080963118,3333.3333333333335,11111.111111111111,55122.6,61132.799999999996,33552.85418546026,50329.281278190385,50.329281278190386,1206.3082364375055,66.9070992954502,53.72372434830035,60.0,0.0,756.9417243483003,876.924,0.0,0.0,106.7989007045498,770.1250992954501,0.8782119080963118,1.0174166313245583,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,80.0,222097.98802817674,4302.523673359007,51.62039883787169,0.7169499838593291,24,0.7169499838593291,0.7169499838593291,60.72,714.0821839238918,0.0,1.0,0.9037453164507205,3333.3333333333335,14814.814814814814,55122.6,61132.799999999996,34413.599225247795,51620.39883787169,51.62039883787169,1608.821418071234,89.29795788323162,71.58418392389176,80.0,0.0,774.8021839238918,876.924,0.0,0.0,84.40804211676837,792.5159578832316,0.9037453164507205,1.022862318055985,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,100.0,228357.28498466557,4315.857062392014,52.911225205892514,0.7348781278596183,24,0.7348781278596183,0.7348781278596183,60.72,731.9386153481797,0.0,1.0,0.9293302966929685,3333.3333333333335,18518.51851851852,55122.6,61132.799999999996,35274.15013726168,52911.22520589251,52.911225205892514,2011.7465644536458,111.7340410971848,89.44061534817976,100.0,0.0,792.6586153481796,876.924,0.0,0.0,61.97195890281519,814.9520410971847,0.9293302966929685,1.0281248766080875,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,120.0,234612.82403715825,4328.682419404961,54.19959269486189,0.7527721207619708,24,0.7527721207619708,0.7527721207619708,60.72,749.7610322789228,0.0,1.0,0.9549931436113189,3333.3333333333335,22222.222222222223,55122.6,61132.799999999996,36133.06179657459,54199.59269486189,54.19959269486189,2415.01439747135,134.2384074682122,107.2630322789228,120.0,0.0,810.4810322789228,876.924,0.0,0.0,39.467592531787794,837.4564074682122,0.9549931436113189,1.0332831665578153,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,140.0,240868.5932281842,4340.925948289675,55.48783741014667,0.7706644084742593,24,0.7706644084742593,0.7706644084742593,60.72,767.5817508403622,0.0,1.0,0.9807075192605108,3333.3333333333335,25925.925925925927,55122.6,61132.799999999996,36991.891606764446,55487.83741014666,55.48783741014667,2818.7171146036644,156.78796062000424,125.0837508403622,140.0,0.0,828.3017508403622,876.924,0.0,0.0,16.918039379995736,860.0059606200042,0.9807075192605108,1.0382761593193257,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,160.0,246480.3032550748,4366.297574152804,56.45064246517819,0.7840367009052527,24,0.7840367009052528,0.7840367009052528,60.72,780.9005541016315,0.0,1.0,1.0,3333.3333333333335,29629.629629629628,55122.6,61132.799999999996,37633.761643452126,56450.64246517819,56.45064246517819,3121.0855410163167,173.70600000000002,138.4025541016316,154.97175533160558,0.0,841.6205541016316,876.924,0.0,0.0,0.0,876.924,1.0,1.041946986354263,0.0,True,True,True,3,全满足,True,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,180.0,250184.00695877848,4431.907167630652,56.45064246517819,0.7840367009052527,24,0.7840367009052526,0.7840367009052526,60.72,780.9005541016315,0.0,1.0,1.0,3333.3333333333335,33333.333333333336,55122.6,61132.799999999996,37633.761643452126,56450.642465178185,56.45064246517819,3121.085541016316,173.70599999999996,138.4025541016316,154.97175533160555,0.0,841.6205541016316,876.924,0.0,0.0,0.0,876.924,1.0,1.041946986354263,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,200.0,253887.7106624822,4497.516761108501,56.45064246517819,0.7840367009052527,24,0.7840367009052528,0.7840367009052528,60.72,780.9005541016315,0.0,1.0,1.0,3333.3333333333335,37037.03703703704,55122.6,61132.799999999996,37633.761643452126,56450.64246517819,56.45064246517819,3121.0855410163167,173.70600000000002,138.4025541016316,154.97175533160558,0.0,841.6205541016316,876.924,0.0,0.0,0.0,876.924,1.0,1.041946986354263,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
offgrid_with_storage,W4_PV1,风电场景4,光伏场景1,220.0,257591.4143661859,4563.1263545863485,56.45064246517819,0.7840367009052527,24,0.7840367009052528,0.7840367009052528,60.72,780.9005541016317,0.0,1.0,1.0,3333.3333333333335,40740.74074074074,55122.6,61132.799999999996,37633.761643452126,56450.64246517819,56.45064246517819,3121.0855410163167,173.70600000000002,138.40255410163164,154.9717553316056,0.0,841.6205541016316,876.924,0.0,0.0,0.0,876.924,1.0,1.041946986354263,0.0,True,True,True,3,全满足,False,minimum capacity reaching 99% of maximum daily ammonia production
